feature,importance,importance_share
start_hour:z2,0.6912708048453341,0.11320796159650431
weekday=Wednesday,0.4920418263143735,0.08058065202064266
weekday=Saturday,0.46306947612433214,0.07583591134204777
duration_min:z,0.4195509939600786,0.06870898131251867
duration_min:signed_sqrt,0.3910350918008234,0.06403899216512957
days_to_event:z,0.3888043575873795,0.06367366952833158
days_to_event:z2,0.36209944020777307,0.059300261538354736
minimum_age:z2,0.31332345828780434,0.051312321863594315
weekday=Thursday,0.2775759462879488,0.04545802722640697
days_to_event:log1p_abs,0.24540733553972632,0.04018984169814287
programme_family=oasis in space,0.1928138468846877,0.031576716997732644
month:z2,0.1919386172039393,0.03143338247905808
days_to_event:signed_sqrt,0.19044622512495618,0.031188976576219107
programme_family=eine tour durch das sonnensystem,0.18690518678884896,0.030609068197106428
start_hour:z,0.14190893539007526,0.023240127017131743
minimum_age:signed_sqrt,0.14170998238059213,0.023207544902424736
month:signed_sqrt,0.12261446785862286,0.02008031276775898
month:z,0.11051567407324274,0.018098918829784424
programme_family=from earth to the universe,0.10352716229403579,0.016954424996728373
programme_family=5000 augen: das universum mit desi kartieren,0.09432907571337752,0.015448073759144336
weekday=Friday,0.09432907571337748,0.015448073759144329
programme_family=der kleine major tom: aufbruch ins ungewisse,0.09219829199423887,0.015099119803970898
weekday=Sunday,0.08912534589196379,0.014595869902635457
duration_min:z2,0.08830608346920049,0.014461701023748118
start_hour:signed_sqrt,0.07212123441100195,0.011811142432552138
minimum_age:z,0.06061948783644066,0.009927525656928306
programme_family=unseen universe,0.04896813013280197,0.00801940738227358
programme_family=dark universe,0.039647535283754684,0.006492993223984911
ticket_price_eur:z,0.0,0.0
ticket_price_eur:signed_sqrt,0.0,0.0
ticket_price_eur:z2,0.0,0.0
weekday=Unknown,0.0,0.0
programme_family=Unknown,0.0,0.0
